date,temp_max,temp_min,precipitation_mm,wind_kmh
2024-01-01,8,2,1.2,15
2024-01-02,7,1,0.0,12
2024-01-03,6,0,,10
2024-01-04,5,-1,0.5,8
2024-01-05,4,-2,0.0,9
2024-01-06,3,-3,0.0,7
2024-01-07,2,-4,12.5,20
2024-01-08,2,-5,0.0,18
2024-01-09,58,-3,0.0,10
2024-01-10,6,1,0.2,11
2024-01-10,6,1,0.2,11
2024-01-11,7,2,0.0,13
2024-01-12,8,3,0.0,14
2024-01-13,9,4,0.0,16
2024-01-14,10,5,1.0,17
2024-01-15,9,4,0.0,
2024-01-16,8,3,0.0,15
2024-01-17,7,2,0.0,14
2024-01-18,6,1,0.0,13
2024-01-19,5,0,5.5,19
2024-01-20,4,-1,0.0,21
2024-01-21,3,-2,0.0,22
2024-01-22,2,-3,,18
2024-01-23,1,-4,0.0,17
2024-01-24,0,-5,0.0,16
2024-01-25,-1,-6,0.0,15
2024-01-26,2,-2,0.0,14
2024-01-27,4,0,0.0,13
2024-01-28,6,1,0.0,12
2024-01-29,7,2,0.0,11
2024-01-30,8,3,0.0,10
2024-01-31,9,4,0.0,9
2024-02-01,10,5,0.0,8
2024-02-02,11,6,0.0,7
2024-02-03,12,7,0.0,6
2024-02-04,13,8,0.0,5
2024-02-05,14,9,0.0,4
2024-02-06,15,10,0.0,3
2024-02-07,16,11,0.0,2
2024-02-08,17,12,0.0,1
2024-02-09,18,13,0.0,0
2024-02-10,19,14,0.0,5
